PLOT,SPEC/SUB,ORIGIN,,,,,,
2-03A,TYPHGLA,exotic,,,,,,
2-03B,TYPHGLA,exotic,,,,,,
1-03A,TYPHGLA,exotic,,,,,,
1-03B,TYPHGLA,exotic,,,,,,
3-01A,TYPHGLA,exotic,,,,,,
3-01B,TYPHGLA,exotic,,,,,,
3-02A,TYPHGLA,exotic,,,,,,
3-02B,TYPHGLA,exotic,,,,,,
3-03A,TYPHGLA,exotic,,,,,,
3-03B,TYPHGLA,exotic,,,,,,
3-04A,TYPHGLA,exotic,,,,,,
3-04B,TYPHGLA,exotic,,,,,,
4-02A,TYPHGLA,exotic,,,,,,
4-02B,TYPHGLA,exotic,,,,,,
4-04A,TYPHGLA,exotic,,,,,,
4-04B,TYPHGLA,exotic,,,,,,
4-01A,TYPHGLA,exotic,,,,,,
4-01B,TYPHGLA,exotic,,,,,,
4-03A,TYPHGLA,exotic,,,,,,
4-03B,TYPHGLA,exotic,,,,,,
5-01A,TYPHGLA,exotic,,,,,,
5-01B,TYPHGLA,exotic,,,,,,
5-03A,TYPHGLA,exotic,,,,,,
5-03B,TYPHGLA,exotic,,,,,,
5-04B,TYPHGLA,exotic,,,,,,
5-02A,TYPHGLA,exotic,,,,,,
5-02B,TYPHGLA,exotic,,,,,,
6-03B,TYPHGLA,exotic,,,,,,
6-04A,TYPHGLA,exotic,,,,,,
6-04B,TYPHGLA,exotic,,,,,,
7-04B,TYPHGLA,exotic,,,,,,
7-03A,TYPHGLA,exotic,,,,,,
7-03B,TYPHGLA,exotic,,,,,,
7-02A,TYPHGLA,exotic,,,,,,
7-01A,TYPHGLA,exotic,,,,,,
7-01B,TYPHGLA,exotic,,,,,,
8-02A,TYPHGLA,exotic,,,,,,
8-02B,TYPHGLA,exotic,,,,,,
9-02A,TYPHGLA,exotic,,,,,,
9-02B,TYPHGLA,exotic,,,,,,
9-01A,TYPHGLA,exotic,,,,,,
9-01B,TYPHGLA,exotic,,,,,,
9-04A,TYPHGLA,exotic,,,,,,
9-04B,TYPHGLA,exotic,,,,,,
9-03A,TYPHGLA,exotic,,,,,,
9-03B,TYPHGLA,exotic,,,,,,
8-04A,TYPHGLA,exotic,,,,,,
8-03A,TYPHGLA,exotic,,,,,,
8-03B,TYPHGLA,exotic,,,,,,
8-01A,TYPHGLA,exotic,,,,,,
8-01B,TYPHGLA,exotic,,,,,,
6-03A,TYPHGLA,exotic,,,,,,
6-01A,TYPHGLA ,exotic,,,,,,
8-04B,TYPHGLA ,exotic,,,,,,
7-02B,TYPHGLA ,exotic,,,,,,
7-04A,TYPHGLA ,exotic,,,,,,
6-02A,TYPHLAT,native,,,,,,
6-02B,TYPHLAT,native,,,,,,
8-04B,TYPHLAT 50,native,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
