gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1899358457,d9522343-146c-4d6b-b312-543d4d8ca0e8,18343bed-aded-44a8-83a9-572395f4d56e,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha glauca Godron,Godron,CA,Mimico,Ontario,,,ff418020-1d67-11d9-8435-b8a03c50a862,44.015534,-79.40506,36396,,,,,,6/14/1942 17:00,15,6,1942,8960288,8960288,PRESERVED_SPECIMEN,Royal Ontario Museum,TRT,73430,,,,CC0_1_0,Royal Ontario Museum (ROM),"Simon, J.",,,11/13/2019 12:46,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
606659905,5288946d-5fcf-4b53-8fd3-74f4cc6b53fc,,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha x glauca Godr.,,US,Berlin,Massachusetts,,,1ef55060-54da-11dd-9d47-b8a03c50a862,42.38138,-71.6375,5000,,,,,,8/1/1944 17:00,2,8,1944,8960288,8960288,PRESERVED_SPECIMEN,UConn,CONN,,18409,,,CC_BY_4_0,,"Shattuck, Isabel C.",,,11/13/2019 13:24,,GEODETIC_DATUM_ASSUMED_WGS84
606659902,5288946d-5fcf-4b53-8fd3-74f4cc6b53fc,,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha x glauca Godr.,,US,Charlton,Massachusetts,,,1ef55060-54da-11dd-9d47-b8a03c50a862,42.13555,-71.97,5000,,270.0,0.0,,,7/9/1953 17:00,10,7,1953,8960288,8960288,PRESERVED_SPECIMEN,UConn,CONN,,29481,,,CC_BY_4_0,,"Meissner, Philip M",,,11/13/2019 13:24,,GEODETIC_DATUM_ASSUMED_WGS84
1989385446,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,d1f9a8d8-211e-46e4-9e61-dca169504ea1,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha ?? glauca,,US,"vicinity of Bass Lake, 9 miles southeast of Traverse City Sect. 1 & 2, T26N, R10W",Michigan,,,174c6da2-e002-42fe-9f56-2f9d670240f4,44.67804,-85.47514,,,,,,,6/26/1956 17:00,27,6,1956,8960288,8960288,PRESERVED_SPECIMEN,MICH,Angiosperms,1269601,,,,CC_BY_NC_4_0,,Jennie V.A. Dieterle,,,12/30/2019 7:34,,GEODETIC_DATUM_ASSUMED_WGS84
1989287970,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,b7d23606-cf41-4aa1-afa3-2e2ac6275497,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha ?? glauca,,US,"NW shore of Canfield Lake, ca. 2 mi. S of Manistee",Michigan,,,174c6da2-e002-42fe-9f56-2f9d670240f4,44.211882,-86.323957,,,,,,,8/17/1956 17:00,18,8,1956,8960288,8960288,PRESERVED_SPECIMEN,MICH,Angiosperms,1269605,,,,CC_BY_NC_4_0,,Edward G. Voss,,,12/30/2019 7:35,,GEODETIC_DATUM_ASSUMED_WGS84
1988169377,07fd0d79-4883-435f-bba1-58fef110cd13,6A0D6CC3-FEB7-1B42-BC60-4FF669120828,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha glauca,,CA,"distict de provencher, vita, ca. 12 milles au nord",Manitoba,,,b542788f-0dc2-4a2b-b652-fceced449591,49.13,-96.56,730,,,,,,8/16/1958 17:00,17,8,1958,8960288,8960288,PRESERVED_SPECIMEN,ca.ubc,UBCVascular,,12946,,,CC0_1_0,University of British Columbia,"Bernard Boivin, J.M. Perron",,,11/13/2019 13:01,,
1703285572,b22b10e7-86da-4b80-8f49-f3f958a2463d,WIN:262230,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha ??glauca Godron,(Engelmann) Nieuwland & Lunell,CA,12 mi. au nord Vita,Manitoba,,,38105fdf-4886-4c2e-9c7c-2bcb091411a5,49.27989821,-96.57020177,10000,,,,,,8/16/1958 17:00,17,8,1958,8960288,8960288,PRESERVED_SPECIMEN,University of Manitoba,WIN,19902,12946,B. Boivin,,CC0_1_0,University of Manitoba,Bernard Boivin,,,11/13/2019 12:32,,COORDINATE_REPROJECTED
